id	name	kind	branch	slot	tier	power	price	weight	durability	range	interval	set	effect	capacity	carryBonus	stack	speed
eq_0001	粗制朴刀	Weapon	blade	Weapon	0	12	51	8	100	3.5	1.2			0	0	1	0
eq_0002	粗制弯刀	Weapon	blade	Weapon	0	12	51	8	100	3.5	1.2			0	0	1	0
eq_0003	粗制柳叶刀	Weapon	blade	Weapon	0	12	51	8	100	3.5	1.2			0	0	1	0
eq_0004	粗制雁翎刀	Weapon	blade	Weapon	0	13	54	8	100	3.5	1.2			0	0	1	0
eq_0005	粗制鬼头刀	Weapon	blade	Weapon	0	11	48	8	100	3.5	1.2			0	0	1	0
eq_0006	粗制九环刀	Weapon	blade	Weapon	0	11	48	8	100	3.5	1.2			0	0	1	0
eq_0007	粗制斩马刀	Weapon	blade	Weapon	0	12	51	8	100	3.5	1.2			0	0	1	0
eq_0008	粗制苗刀	Weapon	blade	Weapon	0	12	51	8	100	3.5	1.2			0	0	1	0
eq_0009	粗制环首刀	Weapon	blade	Weapon	0	12	51	8	100	3.5	1.2			0	0	1	0
eq_0010	粗制破风刀	Weapon	blade	Weapon	0	13	54	8	100	3.5	1.2			0	0	1	0
eq_0011	精钢朴刀	Weapon	blade	Weapon	1	15	60	8	130	3.5	1.2			0	0	1	0
eq_0012	精钢弯刀	Weapon	blade	Weapon	1	16	63	8	130	3.5	1.2			0	0	1	0
eq_0013	精钢柳叶刀	Weapon	blade	Weapon	1	16	63	8	130	3.5	1.2			0	0	1	0
eq_0014	精钢雁翎刀	Weapon	blade	Weapon	1	17	66	8	130	3.5	1.2			0	0	1	0
eq_0015	精钢鬼头刀	Weapon	blade	Weapon	1	14	57	8	130	3.5	1.2			0	0	1	0
eq_0016	精钢九环刀	Weapon	blade	Weapon	1	15	60	8	130	3.5	1.2			0	0	1	0
eq_0017	精钢斩马刀	Weapon	blade	Weapon	1	15	60	8	130	3.5	1.2			0	0	1	0
eq_0018	精钢苗刀	Weapon	blade	Weapon	1	16	63	8	130	3.5	1.2			0	0	1	0
eq_0019	精钢环首刀	Weapon	blade	Weapon	1	16	63	8	130	3.5	1.2			0	0	1	0
eq_0020	精钢破风刀	Weapon	blade	Weapon	1	17	66	8	130	3.5	1.2			0	0	1	0
eq_0021	鎏金朴刀	Weapon	blade	Weapon	2	20	75	8	170	3.5	1.2			0	0	1	0
eq_0022	鎏金弯刀	Weapon	blade	Weapon	2	20	75	8	170	3.5	1.2			0	0	1	0
eq_0023	鎏金柳叶刀	Weapon	blade	Weapon	2	21	78	8	170	3.5	1.2			0	0	1	0
eq_0024	鎏金雁翎刀	Weapon	blade	Weapon	2	22	81	8	170	3.5	1.2			0	0	1	0
eq_0025	鎏金鬼头刀	Weapon	blade	Weapon	2	19	72	8	170	3.5	1.2			0	0	1	0
eq_0026	鎏金九环刀	Weapon	blade	Weapon	2	19	72	8	170	3.5	1.2			0	0	1	0
eq_0027	鎏金斩马刀	Weapon	blade	Weapon	2	20	75	8	170	3.5	1.2			0	0	1	0
eq_0028	鎏金苗刀	Weapon	blade	Weapon	2	21	78	8	170	3.5	1.2			0	0	1	0
eq_0029	鎏金环首刀	Weapon	blade	Weapon	2	21	78	8	170	3.5	1.2			0	0	1	0
eq_0030	鎏金破风刀	Weapon	blade	Weapon	2	22	81	8	170	3.5	1.2			0	0	1	0
eq_0031	秘银朴刀	Weapon	blade	Weapon	3	26	93	8	220	3.5	1.2			0	0	1	0
eq_0032	秘银弯刀	Weapon	blade	Weapon	3	26	93	8	220	3.5	1.2			0	0	1	0
eq_0033	秘银柳叶刀	Weapon	blade	Weapon	3	27	96	8	220	3.5	1.2			0	0	1	0
eq_0034	秘银雁翎刀	Weapon	blade	Weapon	3	28	99	8	220	3.5	1.2			0	0	1	0
eq_0035	秘银鬼头刀	Weapon	blade	Weapon	3	24	87	8	220	3.5	1.2			0	0	1	0
eq_0036	秘银九环刀	Weapon	blade	Weapon	3	25	90	8	220	3.5	1.2			0	0	1	0
eq_0037	秘银斩马刀	Weapon	blade	Weapon	3	26	93	8	220	3.5	1.2			0	0	1	0
eq_0038	秘银苗刀	Weapon	blade	Weapon	3	27	96	8	220	3.5	1.2			0	0	1	0
eq_0039	秘银环首刀	Weapon	blade	Weapon	3	27	96	8	220	3.5	1.2			0	0	1	0
eq_0040	秘银破风刀	Weapon	blade	Weapon	3	28	99	8	220	3.5	1.2			0	0	1	0
eq_0041	龙裔朴刀	Weapon	blade	Weapon	4	35	120	8	300	3.5	1.2			0	0	1	0
eq_0042	龙裔弯刀	Weapon	blade	Weapon	4	36	123	8	300	3.5	1.2			0	0	1	0
eq_0043	龙裔柳叶刀	Weapon	blade	Weapon	4	37	126	8	300	3.5	1.2			0	0	1	0
eq_0044	龙裔雁翎刀	Weapon	blade	Weapon	4	38	129	8	300	3.5	1.2			0	0	1	0
eq_0045	龙裔鬼头刀	Weapon	blade	Weapon	4	33	114	8	300	3.5	1.2			0	0	1	0
eq_0046	龙裔九环刀	Weapon	blade	Weapon	4	34	117	8	300	3.5	1.2			0	0	1	0
eq_0047	龙裔斩马刀	Weapon	blade	Weapon	4	35	120	8	300	3.5	1.2			0	0	1	0
eq_0048	龙裔苗刀	Weapon	blade	Weapon	4	36	123	8	300	3.5	1.2			0	0	1	0
eq_0049	龙裔环首刀	Weapon	blade	Weapon	4	37	126	8	300	3.5	1.2			0	0	1	0
eq_0050	龙裔破风刀	Weapon	blade	Weapon	4	39	132	8	300	3.5	1.2			0	0	1	0
eq_0051	粗制十字剑	Weapon	sword	Weapon	0	9	42	7	100	2.5	0.5			0	0	1	0
eq_0052	粗制阔剑	Weapon	sword	Weapon	0	9	42	7	100	2.5	0.5			0	0	1	0
eq_0053	粗制直刃剑	Weapon	sword	Weapon	0	9	42	7	100	2.5	0.5			0	0	1	0
eq_0054	粗制猎剑	Weapon	sword	Weapon	0	10	45	7	100	2.5	0.5			0	0	1	0
eq_0055	粗制仪仗剑	Weapon	sword	Weapon	0	8	39	7	100	2.5	0.5			0	0	1	0
eq_0056	粗制细身剑	Weapon	sword	Weapon	0	9	42	7	100	2.5	0.5			0	0	1	0
eq_0057	粗制双环剑	Weapon	sword	Weapon	0	9	42	7	100	2.5	0.5			0	0	1	0
eq_0058	粗制狮纹剑	Weapon	sword	Weapon	0	9	42	7	100	2.5	0.5			0	0	1	0
